#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
12200,-433707.6169917446,91818.70643493716,-341888.9105568074,302.6253253471794,461.8902693981417
12250,-432664.79040453327,92104.31044539515,-340560.4799591381,303.5666477632881,461.8902693981417
12300,-434684.0433529073,91807.94287927539,-342876.1004736319,302.5898497381177,461.8902693981417
12350,-434024.4754818862,91148.86705704925,-342875.60842483694,300.41760137094013,461.08021251946985
12400,-433148.60542111215,92232.93797858979,-340915.66744252236,303.9905913211208,461.08021251946985
12450,-433866.4023574218,91649.98766717273,-342216.4146902491,302.06924506714336,461.08021251946985
12500,-433063.7201187378,91595.78840545914,-341467.93171327864,301.8906096904701,460.98899366275793
12550,-432433.5280837789,92223.92181372188,-340209.60627005703,303.9608749383436,461.4639327536477
12600,-432940.8603757839,91636.26655382151,-341304.59382196236,302.02402164205637,461.5117914642876
12650,-433722.681825581,92312.57877589515,-341410.10304968583,304.2530794690291,461.4808062309682
12700,-432676.46746093035,91174.59233990077,-341501.87512102956,300.5023893449257,461.4808062309682
12750,-432889.4951388603,91629.82319943432,-341259.671939426,302.00278498676624,461.4808062309682
12800,-432636.53704731143,92065.99551944158,-340570.5415278699,303.44036557763593,461.867826616192
12850,-432429.5233703633,90910.91557988698,-341518.6077904763,299.6333369656896,460.57514488089504
12900,-431752.87199301994,91867.57725779648,-339885.29473522346,302.78639871928425,461.29126559293223
12950,-432472.59183588484,92233.52471440524,-340239.0671214796,303.9925251440196,460.8562431192788
13000,-432462.7904199294,92661.6524470247,-339801.1379729047,305.4035915748664,461.4246067700135
13050,-432663.87079202035,91678.40926401786,-340985.4615280025,302.16291982391243,461.4246067700135
13100,-431429.5756425862,92442.0021248388,-338987.57351774746,304.6796459564295,462.047239114601
13150,-432030.214667232,91413.94368196366,-340616.27098526835,301.29126756567683,462.047239114601
13200,-432810.9143576233,92336.05166553939,-340474.86269208393,304.3304437789964,461.68492430009627
13250,-433328.170980006,92880.98693919832,-340447.18404080765,306.12649624899115,461.68492430009627
13300,-432996.3931313632,92146.68345994822,-340849.709671415,303.7063050054008,461.6856435477964
13350,-432699.3130499602,91889.02376447812,-340810.2892854821,302.85708427252376,461.6856435477964
13400,-432404.4336367529,91590.1168203833,-340814.3168163696,301.87191671008026,461.6856435477964
13450,-431887.43402837217,92673.88126554908,-339213.55276282306,305.4438965446078,461.31626617391026
13500,-431671.1069528824,91985.27104188585,-339685.83591099654,303.1743057273908,461.31626617391026
13550,-432763.0190646802,91433.8175756161,-341329.2014890641,301.3567699427632,461.21176483468923
13600,-432923.992723241,91147.10665103124,-341776.88607220975,300.4117992477712,460.5929818628821
