#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
34200,-428598.4322372826,92491.6890004183,-336106.74323686433,304.8434089571464,448.0894785135797
34250,-428689.9052874055,91324.00160997281,-337365.9036774327,300.99482744083235,448.49592871620183
34300,-429364.9084357647,91573.48692850869,-337791.42150725605,301.8171062402485,447.7020670927646
34350,-428729.13575887727,92400.26139009581,-336328.87436878146,304.54207264569266,447.9906407541533
34400,-429042.3006191014,91388.41563954353,-337653.8849795578,301.2071296765382,447.81881884900645
34450,-430331.7701441946,91215.70611061981,-339116.0640335748,300.63789624458906,447.81881884900645
34500,-429368.7944099114,91787.68082879978,-337581.1135811116,302.52306803474306,447.81881884900645
34550,-429111.5160135182,91180.09673278395,-337931.41928073426,300.5205312764752,447.81881884900645
34600,-428575.1662492966,91423.49177153221,-337151.6744777644,301.3227371193693,448.21770500497007
34650,-427983.3709299483,92072.5141945733,-335910.856735375,303.4618504826097,447.65468957399435
34700,-428859.23587605916,91911.95235406741,-336947.28352199175,302.93265462363877,446.97354759940504
34750,-430156.05193481594,90928.43457966959,-339227.6173551463,299.69107784676726,446.97354759940504
34800,-428504.37350111734,91625.82656515107,-336878.54693596624,301.98961247762054,447.73996831066506
34850,-429049.7118866944,90984.73689730388,-338064.9749893905,299.8766446866133,447.73996831066506
34900,-428679.35748531343,91670.17144368816,-337009.1860416253,302.1357687873293,447.73996831066506
34950,-428236.7969817538,91608.88110166058,-336627.91588009323,301.93376191512533,447.73996831066506
35000,-429688.61817233707,92707.91914488815,-336980.6990274489,305.5560820099564,447.13282050340723
35050,-430517.80279728794,92284.56803930819,-338233.23475797975,304.16075886681233,447.34156147785535
35100,-428900.4801939004,92457.58465888748,-336442.89553501294,304.73100443902325,447.74409314394745
35150,-428330.8757821545,93162.56906275958,-335168.3067193949,307.0545629258513,448.1657332226828
35200,-429044.50783721777,91475.45065998033,-337569.05717723747,301.4939884485571,448.1657332226828
35250,-429373.5039852939,92590.86051421457,-336782.64347107935,305.17026840434454,447.8861761891012
35300,-429934.71491669514,92063.55510435422,-337871.1598123409,303.4323222121991,447.25047660421217
35350,-429638.19710368826,92010.76807665276,-337627.4290270355,303.25834141838794,447.25047660421217
35400,-429905.3991011162,91933.74177607012,-337971.65732504614,303.0044703916748,447.5237461351561
35450,-429314.37135788705,92730.31719046892,-336584.05416741816,305.6299037407802,447.6149051026958
35500,-428756.16645132727,92165.86489010439,-336590.3015612229,303.76952509166665,447.5553945699466
35550,-428258.6359141122,91987.63877347583,-336270.9971406364,303.1821095352484,447.2658190230536
35600,-429503.47457423364,90985.29371711689,-338518.18085711676,299.87847990934307,447.5695910762786
35650,-428811.42221022025,91505.31516955487,-337306.10704066535,301.59241890218954,446.8167941127964
35700,-427990.35211279057,91613.32886425412,-336377.02324853645,301.9484212983186,446.8167941127964
35750,-428884.46774875466,92549.96322735585,-336334.5045213988,305.03547501395616,446.8320086529381
35800,-428943.8444037526,92075.0084232091,-336868.8359805435,303.47007121215063,447.21071690111967
35850,-428777.68634345615,91267.38185870575,-337510.3044847504,300.80821437130044,447.21071690111967
35900,-429348.45144494437,91345.18903989956,-338003.2624050448,301.0646591028521,447.21071690111967
35950,-428690.01525937323,91230.34055884148,-337459.67470053176,300.6861299305809,447.21071690111967
36000,-429105.1564555329,92246.93034942553,-336858.22610610735,304.0367087839011,447.21071690111967
